awareness-raising, damaged
complimentary , seventh
elusive, pre-established
advertised, staggering
independent , precisely
former, unequivocal
dark, early
expandable, private
affixed, pervasive
left, pluralistic
ignored, multi-threaded
irrational, odd
ail, private
improving, well-defined
feasible, hooked
hard-pressed, steep
extensive, growin
irregular, technical
horrific, pleased
bogus, commensurate
necessarily, precise
adopted, daunting
reality, sombre
enrolled, overburdened
ridiculus, western
hurtin, lookin
history, iike
inestimable, unaware
miserable, okey-dokey
emphasise, subject
pending, soaring
addition, cross-border
prolonged, undecided
happier, poisonous
frightened, undisputed
closest, resistant
race, shaking
challenged, key 
clever, wrecked
generated, mandatory
added, technical
immersive, vocational
egregious, sharp 
intrusive, marvelous
insincere, yeah
marine, true 
estimated, mediocre 
so, sticky
own , unlucky
immense, passionate 
accessed, sole
further, moister
about, co-
-lncredible, apart
burdensome, usable
surely, ungrounded
appreciated, sponsored
angry , wing
fullest, gracious
better-educated, unsuccessful
best, improbable
allergic, useless
inconceivable, retard
damaged, indispensible
enchanting, professional 
motivation, yet
numerous, uncomplicated
influential, under-funded
ping-pong, reported
presentable, rescinded
sad , vegas 
healthy , tremendous 
pure, twenty
ail, fair 
harmonised, puzzling
nifty, principal
everyone, note
confusing, experienced
at, married 
marvelous, removed
contemporary, thanks
awaken, non-competitive
exciting, retail
fella, frightful
opposite , useful
dismal, living
losin, stellar
simplifying, soaked
medium, okey-dokey
self-employed, sick 
lukewarm, served
enhancement, principal
cold, gifted
african, inestimable
marty, scrumptious
commended, seropositive
common, unhappy 
infallible, sensitive
horrendous , unsuccessful
underprivileged, various 
picky, right
improvement, inexpensive 
deliberately, empty 
minuscule, surrounded
fairest, intermediate
sane, well-known
bolder, creative 
double, prominent
eerie, homesick
deeper, non-binding
disruptive, mean
solid , talkative
exciting, supportive
glad , sympathetic
free-of-charge, superstitious
better-educated, present
modern , transnational
largely, petite
depressing, own 
insecure, suspected
lookin, shocked
muscovite, wondrous
non-specific, pitch-black
bulletproof, tall
dependable, individual
cognizant, quoted
her, outside 
charged, inadequate
atrocious, special
inoffensive, jump
inconclusive, outstanding 
any, contemplated
economic, paradoxical
glowing, negative
inestimable, responsibility
crowded, ephemeral
compatible, recheck
great , primordial
merely, severe
cost-efficient, damaging
cool, unusual
ample, lookin
vicious, warned
discrete, enthusiastic 
diversified, transient
favorite, rusted
partial, precise
grisly, relevant
ineffectual, overambitious
identical, lovely
brutal, hard 
infamous, unpleasant 
anticipated, reachable
favoured, premature
overworked, reinforcing
comprende, statutory
effectiveness, youth
dependent, reckless
american , less
livid, southeastern
counterfeit, high-cost
encouraging, susceptible
over, treble
archaic, reckless
multiple , surely
anticipated, conscious
opposed, overwhelmed 
looking, start
initial, real 
robust, such
poverty-stricken, world-wide
back, capable
imprecise, unpopular
awkward , immediate
concluded, last
previously, working
callous, presumptuous
kind , ripe
captain, day
better-educated, widening
underlying, unfriendly
it, wait
foremost, serene
great , joyous
across-the-board, brightest
next, peripheral
pro-choice, vibrant 
sick , vice-chairmen
incredible , rare
continual, sicker
still, surrounded
glorious, nice 
foremost, humid
poppycock, second
hasty, smarty
heavy, vested
elaborate, whar
delayed, operated
active, fine
agile, beneficial
lousy, pending
ill-equipped, technological
associated, lousy 
liberal, wet
it, secret
lower, religious
chilly, super 
archaic, otherwise
admirable, gigantic
anti-constitutional, stable
outdated, sunny
handy, obscure
abundant, asinine
ferociously, useless
inexpensive , preponderant
-mentioned, -so
dead, ill-conceived
pivotal, time-sensitive
asian , crystal-clear
course, far-ranging
readyto, victorious
elsewhere, successful
green, minimum
teeny, willing 
apart, pitiable
prior , sloppy
schizo, us
better-educated, sold
common , sloppy
asian , balanced
builshit, demand-driven
coherent, corrupt
immovable, innocents
antagonistic, simply
entertaining, full
attentive , garbled
defective, rising
intermediate, revealing
disrespect, overwhelmed 
heard, ordinary
angry, why
convenient , distracting
momentary, natural 
disciplined, overkill
differently, populous
annoying , doable
inexpensive, undamaged
buoyant, referenced
aligned, permanent
doubtful, proscribed
insurmountable, responsibility
immediate , iucky
desperate, repelling
miscellaneous, zero
motherfucker, pressing
two-fold, up
!, plain
hard, relaxed 
malicious, topnotch
appointed, refined
expedient, fair-minded
builshit, voluntary
defenseless, neutral
around, away
achievable, mimi
ensuring, friendly
also, comfortable 
clueless, propitious
axiomatic, novel
praiseworthy, quality
accessible, wish
enhancement, screwed
dubious, tom
concerned , expandable
childish, preponderant
ineffectual, minor 
estimated, sadder
naughty, stout
proper , unproblematic
afterwards, exceptional
balanced, impracticable
slippery, though
obsolete, sacrilegious
limited , up-to-date
selfish, wierd
efficacy, memorable
luke, spoilt
'sgoing, hard 
drunken, queer
closed , inexpensive 
ample, steady
competitive, selfish
concerned , forlorn
judicious, staff
economical, industrial
inadmissible, sufficient
biggest, easiest
authorized, unambiguous
better-iooking, though
cultural, meagre
handy , stillborn
anywhere, ideal
even-handed, unified
creative, outdated
iittle, loyal
interoperable, quoted
inadvisable, unbearable
dopey, shaky
panicky, way
functional, huge 
busier, cloudy
direct , inaccurate
ill, nicer 
flat , goal
liberal, steep
also, enlightening
bulletproof, green 
knowledgeable, resistant
obsolete, undisputable
burned, obliged
jealous, ok
authentic , vis-
breadth, scanty
confident, overly-high
bad-looking, susceptible
rusty, superior 
iil, sensitive 
extinct, worded
deeper, fitting 
finicky, indecent
depraved, greater
clever, requested
operated, wreckable
oversensitive, stipulated
relentless, small-scale
entitled, skinny
relative, several 
ill-founded, shallow
hiv-positive, uncomfortable 
embedded, guilty 
classic , previously
extraordinary , inexpensive
defective, indiscriminate
east, energetic
briefly, trashy
-me, holistic
impenetrable, obvious 
bothersome, momentous
-surprised, unquestionable
coming, inexcusable
low , yet
definite, fragile
cuter, deductible
glamorous, reaily
planned, tell
imperative, recognized
astute, later
massive, outermost
quadruple, two-pronged
additionally, beastly
lucky , relative
closed, inevitable
poor, unfathomable
moving, uneconomic
handicapped, topnotch
deader, tremendous
inadmissible, marked
fascinated, secondary
advanced, natural 
broad-based, valued
lately, self-evident
bad-looking, okey
common , smokin
acknowledging, insulted
larger, outstanding 
elegant , wide-ranging
prohibitive, recognizing
disparate, first
equivocal, focussed
transparency, unachievable
fuzzy, sorry
maximum, missing
bare, convenient
multi-threaded, tiring
disciplined, you
active, strongly
suitable, unethical
bigger, obsolete
ensuring, riveting
outrageous , startling
implacable, shitless
crystal-clear, weakest
sixteen, unfathomable
frightful, problematic
another, turned
good-iooking, indicated
conscious, inclusive
complicit, cooler
macabre, regular 
infected, permitted
additional, unfavourable
few , repulsive
juvenile, pretend
latter, unexpected 
lengthier, working
enabled, mobile
accordingly, fastest
relevant, thought-out
fun, sized
nigeria, sincerely
psychological, usual
homicidal, morbid
relentless, thoroughly
herein, hotter
quiet, uniform
evil, untapped
nauseous, slow
brilliant , predictability
christian, professionally
differently, egotistical
contained, unsavory
comfortable, overpriced
economical, marty
dre, permanent
orderly, receptive
kinda, wetter
horrid, unjust
prouder, well-behaved
clarify, rescinded
clare, work
confusing, often
in-house, protected
live, outrageous
short, sudden
adequate, level
labour-intensive, weighted
conscious, grieved
extra, unwise
faster, panicked
ggood, merry
onboard, straight 
regularly, unwarranted
minor, weary
concluded, dreamy
aggravating, implemented
elevated, fatal
previous, quick 
cautious, difficult 
elle, patient 
a-okay, unsolved
chloe, twisted
one-sidedly, these
fairest, standardized
dreadful, volatile
automatic, mesmerizing
cloudy, visible
open, steady
gone, white
complacent, sovereign
economic, serene
five, supra
correct, wonderfui
fatal, stir-crazy
sound, witty
cross-border, kinky
mature, vague
dim, updated 
burdensome, mean
obtainable, unfair
clinically, five
massive, unacceptable
hardto, thankyou
deepest, race
-so, quick 
induced, resolved
reported, successful
hopeless, impulsive
disorientated, thank
drenched, odious
flourishing, grievous
expedient, simply
binding, day
fucking, ruthless
compatible, entirely
built-in, material
graceful, under-funded
detailed, freely
feeble, loaded
considerate, huh
fine , suited
already, physically
added, perfectly
'sgoing, polite
blinded, previously
disgusting, off 
desperate, interoperable
acute, bleak
premier, undeniable
hands-on, stuffed
benign, doing
exceptional , finished
knowledgeable, moderately
indiscriminate, modest
orderable, vivid
accuracy, various
homicidal, seminal
acceded, continued
afraid , vivid
familiar, misused
security, stay
decisive, stupid 
stand-alone, younger
another, lethal
compensable, wait
american , minus
blunt, correct
savage, worded
geographically, welcomed
furthermore, planned
surprised, triple
heartfelt, increasing
meagre, twenty
alright, magic
bulletproof, to
heights, logical
frank, lenient
functional, limited
other , sound 
determinable, wasted
bitter, newborn
fearful, living
colossal, need-to-know
concise, confidential
legibly, significantly
low, tell
defined, flashing
horrible, rising
appalling, tense
optimistic, well-founded
demeaning, utopian
bloodied, preposterous
genuine , statewide
ironic, tolerated
asian, live
importantly, rarely
consistent, motivation
classical, kinda
rude , school
orderly, rational
classical, homesick
homosexual, undisturbed
equal, weighted
concentrated, essentially
sell, underlying
improvement, outermost
briiliant, negligeable
awestruck, loose 
hard, queer
infected, lame
permissible, sketchy
homesick, instable
constant, up-to-date
neurotic, sane
damaging, instead
absolutely, gullible
sombre, tacky
eastern, sensitive 
drawn-out, emaciated
declared, lit
clear-cut, per
fast, late
additional, untapped
grieved, overweight
marvellous, more
fuckin, plenty
due, northern
cheapest, ill-founded
following , oldest
agreeable, conventional
ageing, intensive
plentiful , statewide
european, master
intelligible, searchable
intensive, marvelous
complements, reckless
narrow , two-fold
increasing, snarky
newest, tiny 
cold, implausible
paid, priced
close , truth
humble , shipshape
adjusted, winning
angry , former
creation, unremarkable
acclaimed, non-competitive
respected, wild
addictive, smaller
nuts, you
outside, redundant
clara, immersive
concluded, th-that
clever, freer
over, reimbursable
capable, constructed
displacement, encouraged
pushy, white
creative, jeopardized
dangerous , frozen
evey, exhausting
noteworthy, uniform
apart, further 
insane , world-wide
distinct, either
arranged, trustworthy
distinguished, then
reasoned, updating
expensive, out
flexible, two-pronged
run, strangers
little , unworkable
darn, soft 
before, u.s.
prat, sweet
acceding, pitch-black
hard , upright
likely , stupider
miserable, reported
booked, forlorn
-sorry, staggering
amended, various 
dazzling, false
kiddo, obscure
brief, late
generated, inclusive
involved, soaked
controlled, strengthening
