smarter, sound
happy, warmest
happier, louder
busier, happiest
lovely, narrower
cuter, wise
easier, lighter
better, greatest
least, sound
cruellest, lighter
luckier, thin
greater, rare
most, narrow
big, cheap
deep, faster
milder, quick
earlier, slow
grave, sounder
simple, worse
louder, safe
clearer, smaller
freest, pure
broader, strict
deader, low
cheaper, hotter
biggest, lighter
lucky, simpler
interest, thin
newer, shortest
less, sound
thin, upper
cheaper, deepest
hard, strict
best, prouder
clearest, nicer
happiest, worst
finest, warmest
great, larger
earlier, weaker
colder, truer
lower, rare
fair, smallest
cheaper, good
ever, firm
finest, most
far, tall
poorest, safe
another, earliest
new, worse
gravest, lower
cruellest, lower
cheaper, faster
loud, stranger
greater, simpler
heavier, narrower
poorest, weaker
few, higher
quieter, richest
low, widest
easier, new
firmer, worse
proper, worst
loud, prettier
purer, some
denser, gravest
easy, healthy
cooler, less
bad, larger
fatter, kosher
dry, interest
least, strict
busy, noble
another, warm
far, sure
fairest, green
strong, weak
later, youngest
clearer, high
closest, worst
lowest, slower
latest, more
higher, noble
fairer, hot
big, great
long, prouder
drier, subtler
deepest, later
busy, fewer
less, smarter
deeper, deeper
harder, less
firm, surer
clear, wider
cheap, late
narrow, subtler
broader, denser
closest, firm
louder, weird
safer, smaller
bad, fastest
drier, warm
fairest, weakest
busier, more
big, finest
brighter, easy
milder, poorest
better, weirder
lovelier, purer
milder, tougher
finest, proper
hard, old
greater, new
longer, stupider
deepest, free
colder, lowest
green, quicker
freest, old
stupid, worst
less, many
cooler, many
hard, narrow
fat, low
dry, subtler
fewer, greener
late, strongest
fewer, safest
lucky, stronger
richer, younger
warmer, worst
strong, well
cuter, stricter
heavy, sure
